"ID odgovora","Datum prosleđivanja","Poslednja strana","Početni jezik","Datum početka","Datum poslednje akcije","IP adresa","Molimo vas da označite svoj pol. []","Molimo Vas da označite svoju ulogu u današnjoj poseti veb-sajta Odseka. []","Koliko često posećujete veb-sajt Odseka za psihologiju? []","Koliko vremena provedete na veb-sajtu Odseka prilikom tipične posete? []","Kakav je vaš opšti utisak vezan za korišćenje veb-sajta Odseka za psihologiju? []","{if(is_empty(hidden), rand(1, 100), hidden)}","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa nekoliko narednih tvrdnji.  Opšti izgled i dizajn veb-sajta je atraktivan []","Početna stranica veb-sajta mi daje jednosavan uvid u njegovu strukturu i logiku korišćenja. []","Uvek znam gde mogu da pronađem informaciju koju tražim. []","Bilo mi je lako da naučim kako da se krećem kroz veb-sajt. []","Informacije koje se nude na veb-sajtu su korisne, potpune i jasne. []","Jezik/terminologija koji se koristi u sadržaju su laki za čitanje i razumevanje. []","Opis ponuđen na stranicama izbornih kurseva mi je veoma koristan prilikom odabira predmeta. []","U odeljku Aktuelnosti i vesti pronalazim korisne informacije. []","Informacije koje se nude na veb-sajtu se redovno ažuriraju. []","Lako i brzo mogu da rezervišem termin za eksperimente. []","Mislim da budući studenti Odseka mogu lako da nauče kako da koriste veb-sajt. []","Zadovoljan sam brzinom učitavanja stranica veb-sajta. []","Veb-sajtu češće pristupam sa mobilnih uređaja nego sa računara. []","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa nekoliko narednih tvrdnji.  Početna stranica veb-sajta mi daje jednosavan uvid u njegovu strukturu i logiku korišćenja. []","Mislim da budući studenti Odseka mogu lako da nauče kako da koriste veb-sajt. []","Bilo mi je lako da naučim kako da se krećem kroz veb-sajt. []","Opšti izgled i dizajn veb-sajta je atraktivan. []","Informacije koje se nude na veb-sajtu su korisne, potpune i jasne. []","Informacije koje se nude na veb-sajtu se redovno ažuriraju. []","Veb-sajtu češće pristupam sa mobilnih uređaja nego sa računara. []","Opis ponuđen na stranicama izbornih kurseva mi je veoma koristan prilikom odabira predmeta. []","Uvek znam gde mogu da pronađem informaciju koju tražim. []","U odeljku Aktuelnosti i vesti pronalazim korisne informacije. []","Lako i brzo mogu da rezervišem termin za eksperimente. []","Jezik/terminologija koji se koristi u sadržaju su laki za čitanje i razumevanje. []","Zadovoljan sam brzinom učitavanja stranica veb-sajta. []","Da li ste naišli na neki problem ili ste imali negativno iskustvo prilikom korišćenja veb-sajta? Ako jeste, koje?","Koju vrstu informacija bi, po vašem mišljenu, trebalo dodati na veb-sajt?","Da li imate neke konkretne sugestije za poboljšanje veb-sajta Odseka za psihologiju?","Da li ste naišli na neki problem ili ste imali negativno iskustvo prilikom korišćenja veb-sajta? Ako jeste, koje?","Koju vrstu informacija bi, po vašem mišljenu, trebalo dodati na veb-sajt?","Da li imate neke konkretne sugestije za poboljšanje veb-sajta Odseka za psihologiju?","Ukupno vreme","Vreme grupe: Molim Vas odgovorite na sledeća pitanja","Vreme pitanja: DemografskePol","Vreme pitanja: Demografske","Vreme pitanja: zaAnalytics1","Vreme pitanja: vreme","Vreme pitanja: zaAnalzticsMozda","Vreme pitanja: hidden","Vreme grupe: Molim Vas obeležite stepen slaganja na sledeća pitanja.","Vreme pitanja: b","Vreme pitanja: b2","Vreme pitanja: b3","Vreme pitanja: b4","Vreme pitanja: b5","Vreme pitanja: b6","Vreme pitanja: b7","Vreme pitanja: b8","Vreme pitanja: b9","Vreme pitanja: b10","Vreme pitanja: b11","Vreme pitanja: b12","Vreme pitanja: b13","Vreme grupe: Molim Vas obeležite stepen slaganja na sledeća pitanja.","Vreme pitanja: b2","Vreme pitanja: b11","Vreme pitanja: b4","Vreme pitanja: b","Vreme pitanja: b5","Vreme pitanja: b9","Vreme pitanja: b13","Vreme pitanja: b7","Vreme pitanja: b3","Vreme pitanja: b8","Vreme pitanja: b10","Vreme pitanja: b6","Vreme pitanja: b12","Vreme grupe: Molim Vas napišite Vaš odgovor na sledeća pitanja.","Vreme pitanja: textboxPrvi","Vreme pitanja: textboxDrugi","Vreme pitanja: textboxTreci","Vreme pitanja: textboxPrvimali","Vreme pitanja: textboxDrugimali","Vreme pitanja: textboxTrecimali"
"57","2019-08-06 10:50:33","38","sr-Latn","2019-08-06 10:48:16","2019-08-06 10:50:33","188.2.63.192","Ženski","Student Odseka","Nekoliko puta mesečno","Između 5 i 15 minuta","Uglavnom pozitivan","12","Uglavnom se slažem","Neodlučan/na sam","Neodlučan/na sam","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se ne slažem","Uglavnom se slažem","Neodlučan/na sam","Neodlučan/na sam","Uglavnom se slažem","uglavnom se slažem","Potpuno se slažem","","","","","","","","","","","","","","","","","","Datume za prijavu ispita, vrlo jasno istaknuti","","146.47","","2.19","3.52","6.07","3.95","6.67","","","9.37","6.04","4.61","5.09","6.04","4.58","19.59","4.66","4.18","4.68","5.98","2.85","5.11","","","","","","","","","","","","","","","","","","","6.92","30.45","3.92"
"58","2019-08-06 11:11:22","38","sr-Latn","2019-08-06 11:03:50","2019-08-06 11:11:22","212.200.247.111","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Neutralan","39","Neodlučan/na sam","Neodlučan/na sam","Neodlučan/na sam","Uglavanom se ne slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se ne slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se ne slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","","","","","","","","","","","","","","","","","Nisam. ","Sve što je na linkovima koji vode na drugi sajt fakulteta.
Sadržaje istraživanja. 
Rasporedi ispita, časova po profilu studenata. 
Bitni rokovi / termini, prijave. ","Bolji raspored informacije, ima puno manje značajnih stranica što bi moglo biti zajedno.
Bolja organizacija novosti, npr. Kategorije. 
Prikaz rezultata istraživanja. ","461.43","","2.34","2.33","4.28","12.82","6.47","","","8.33","10.22","7.33","9.43","6.81","3.97","7.1","5.81","6.04","5.01","7.31","3.92","6.34","","","","","","","","","","","","","","","","","","","18.23","165.91","161.43"
"59","","4","sr-Latn","2019-08-06 11:12:21","2019-08-06 11:13:06","87.116.183.242","Muški","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.76","","15.91","17.18","10.09","4.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","2019-08-06 11:23:21","38","sr-Latn","2019-08-06 11:19:01","2019-08-06 11:23:21","87.116.183.68","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Uglavnom pozitivan","97","","","","","","","","","","","","","","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Neodlučan/na sam","Uglavnom se ne slažem","Nedolučan/na sam","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","","najveći propusti se dešavaju na nivou kurseva, u smislu da predavači nisu ažurni u postavljanju obaveštenja, materijala, rezultata... možda bi bilo dobro dodati deo za međunarodnu saradnju gde bi se objavljivali linkovi za konkurse za razmenu konkretno studenata psihologije","","","","","269.23","","2.23","12.43","6.28","5.2","4.18","","","","","","","","","","","","","","","","","7.83","4.21","2.83","4.1","4.99","2.79","5.1","11.19","6.49","3.87","4.58","3.34","2.98","","4.32","165.51","4.78","","",""
"61","2019-08-06 11:23:49","38","sr-Latn","2019-08-06 11:20:24","2019-08-06 11:23:49","46.40.52.179","Muški","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom negativan","39","Uglavnom se ne slažem","Uopšte se ne slažem","Uglavnom se ne slažem","Uglavanom se ne slažem","Uglavnom se ne slažem","Uglavnom se slažem","Uglavnom se ne slažem","Ugalvnom se ne slažem","Neodlučan/na sam","Uopšte se ne slažem","Uglavnom se ne slažem","Uopšte se ne slažem","Potpuno se slažem","","","","","","","","","","","","","","","","","","","","216.62","","10.75","11.18","11.86","22.26","10.56","","","16.53","13.74","9.46","18.9","6.61","8.04","9.07","7.28","5.37","6.75","8.27","4.55","13.4","","","","","","","","","","","","","","","","","","","8.69","7.68","5.67"
"62","2019-08-06 11:42:11","38","sr-Latn","2019-08-06 11:40:33","2019-08-06 11:42:11","31.216.187.48","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","9","Neodlučan/na sam","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se ne slažem","Neodlučan/na sam","Neodlučan/na sam","Uglavnom se ne slažem","Uopšte se ne slažem","","","","","","","","","","","","","","","","","","","","110.92","","2.65","11.88","7.95","4.96","6.43","","","7.81","4.71","3.42","4.31","7.73","3.94","5.29","1.99","6.76","4.59","4.31","3.45","7.93","","","","","","","","","","","","","","","","","","","5.64","2.61","2.56"
"63","2019-08-06 12:14:48","38","sr-Latn","2019-08-06 12:07:24","2019-08-06 12:14:48","212.200.46.11","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","20","Uglavnom se slažem","Uglavnom se ne slažem","Uglavnom se slažem","Uglavanom se ne slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Ugalvnom se ne slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Uopšte se ne slažem","","","","","","","","","","","","","","","","","Previse vremena je potrebno kako bi se pristupilo nekom predmetu, potreban je direktniji pristup, ili opcija pretrage ","","","456.08","","2.74","3.88","8.15","5.83","14.68","","","18.14","20.58","4.87","5.47","10.03","3.64","15.94","15.71","56.53","11.64","11.94","7.02","6.74","","","","","","","","","","","","","","","","","","","203.66","24.06","4.83"
"64","2019-08-06 14:09:46","38","sr-Latn","2019-08-06 14:07:41","2019-08-06 14:09:46","188.120.116.49","Ženski","Student Odseka","Nekoliko puta mesečno","Manje od 5 minuta","Neutralan","99","","","","","","","","","","","","","","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Potpuno se slažem","uglavnom se slažem","","","","","","","134.26","","3.32","12.49","21.75","6.94","6.49","","","","","","","","","","","","","","","","","10.76","4.33","3.86","5.39","3.49","4.55","5.01","10.07","3.18","3.26","6.17","5.28","2.61","","5.49","6.46","3.36","","",""
"65","","1","sr-Latn","2019-08-06 15:02:06","2019-08-06 15:03:00","212.200.181.121","Muški","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.33","","8.01","33.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66","2019-08-06 16:48:49","38","sr-Latn","2019-08-06 16:47:30","2019-08-06 16:48:49","109.93.234.209","Muški","Nastavnik Odseka","Barem jednom nedeljno","Manje od 5 minuta","Veoma pozitivan","16","Neodlučan/na sam","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","Uglavnom se ne slažem","","","","","","","","","","","","","","","","","","","","89.84","","3.79","3.94","4.87","5.81","4.49","","","6.71","3.86","3.89","6.22","2.91","2.44","5.85","4.13","2.17","4.41","4.57","2.06","6.59","","","","","","","","","","","","","","","","","","","4.08","3.59","3.46"
"67","2019-08-06 17:00:51","38","sr-Latn","2019-08-06 16:58:46","2019-08-06 17:00:51","95.155.21.55","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","96","","","","","","","","","","","","","","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Potpuno se slažem","uglavnom se slažem","","","","","","","135.6","","11.58","7.42","13.03","6.92","6.69","","","","","","","","","","","","","","","","","14.47","5.24","3.94","4.24","4.82","5.11","5.53","8.71","4.58","4.34","5.16","6.22","5.08","","4.8","4.42","3.3","","",""
"68","2019-08-06 17:25:28","38","sr-Latn","2019-08-06 17:22:34","2019-08-06 17:25:28","178.220.74.221","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Veoma pozitivan","79","","","","","","","","","","","","","","Potpuno se slažem","Potpuno se slažem","Uglavanom se ne slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","","","","","","","183.16","","3.46","17.81","7.2","5.68","7.25","","","","","","","","","","","","","","","","","9.01","5.48","5.85","5.66","3.55","4.1","2.96","8.53","3.19","14.69","5.2","5.28","2.98","","5.6","56.09","3.59","","",""
"69","2019-08-06 22:56:25","38","sr-Latn","2019-08-06 22:53:22","2019-08-06 22:56:25","109.245.32.116","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Veoma pozitivan","87","","","","","","","","","","","","","","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se ne slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se ne slažem","Potpuno se slažem","Potpuno se slažem","","Informacije za master radove","Dodati informacije vezane za master radove kako bi studenti znali kada mogu da i prijave i kakva je procedura","","","","194.28","","3.08","3.77","6.67","10.27","4.3","","","","","","","","","","","","","","","","","7.17","3.66","4.19","13.88","3.58","4.18","3.5","8.69","4.77","4.75","6.57","4.55","8.13","","6.07","24.63","57.87","","",""
"70","2019-08-07 00:14:35","38","sr-Latn","2019-08-07 00:12:55","2019-08-07 00:14:34","188.2.124.188","Ženski","Student Odseka","Nekoliko puta u semestru","Između 5 i 15 minuta","Veoma pozitivan","100","","","","","","","","","","","","","","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","","","","","","","110.64","","2.55","3.44","11.2","4.74","6.93","","","","","","","","","","","","","","","","","10.26","7.38","2.59","7.85","3.81","3.19","4.65","8.49","3.53","3.78","3.74","3.04","1.94","","3.78","10.83","2.92","","",""
"71","2019-08-07 00:25:43","38","sr-Latn","2019-08-07 00:23:52","2019-08-07 00:25:43","212.200.102.18","Ženski","Student Odseka","Barem jednom nedeljno","Između 15 i 30 minuta","Veoma pozitivan","86","","","","","","","","","","","","","","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se ne slažem","Uglavnom se ne slažem","Uglavnom se slažem","Potpuno se slažem","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","","","","","","","120.99","","4.99","14.77","6.73","6.28","4.93","","","","","","","","","","","","","","","","","9.29","3.97","3.38","3.16","2.92","4.15","7.84","7.51","5.63","4.28","6.76","5.6","3.18","","7.1","3.72","4.8","","",""
"72","","","sr-Latn","2019-08-07 13:10:55","2019-08-07 13:10:55","178.221.185.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73","2019-08-07 14:36:11","38","sr-Latn","2019-08-07 14:34:42","2019-08-07 14:36:11","79.101.94.199","Ženski","Student Odseka","Nekoliko puta mesečno","Manje od 5 minuta","Veoma pozitivan","68","","","","","","","","","","","","","","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","uglavnom se slažem","","","","","","","99.62","","3.39","6.34","8.53","7.18","4.71","","","","","","","","","","","","","","","","","9.3","5.63","2.47","4.95","4.25","2.65","4.2","5.64","3.23","2.2","3.28","3.36","2.95","","4.35","7.63","3.38","","",""
"74","2019-08-07 22:56:04","38","sr-Latn","2019-08-07 20:02:46","2019-08-07 22:56:04","109.245.143.210","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Veoma pozitivan","80","","","","","","","","","","","","","","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","uglavnom se slažem","
","Mogucnosti stipendija i programa razmene","","","","","10408.6","","3.28","3.99","5.55","4.88","6.15","","","","","","","","","","","","","","","","","72.98","10148.4","7.85","9.71","6.04","3.85","7.52","11.26","16.4","6.01","3.65","9.29","3.66","","13.49","60.86","3.81","","",""
"75","2019-08-08 07:49:27","38","sr-Latn","2019-08-08 07:45:00","2019-08-08 07:49:27","109.245.225.155","Ženski","Student Odseka","Nekoliko puta mesečno","Između 5 i 15 minuta","Uglavnom pozitivan","37","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Neodlučan/na sam","Neodlučan/na sam","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","Nedolučan/na sam","","","","","","","","","","","","","","","","","","Vise aktuelnih dogadjaja, novosti","Rezultati ispita se kace na vise razlicitih mesta, pa da se to organizuje na jedno mesto. Da se ne skidaju dokumenta sa kurikuluma nekog kursa","276.75","","3.45","5.27","15.69","9.11","7.22","","","9.53","8.48","12.43","7.05","7.26","4.76","8.91","5.86","6.71","7.77","6.32","3.41","8.08","","","","","","","","","","","","","","","","","","","8.78","34.01","96.65"
"76","","11","sr-Latn","2019-08-08 15:34:36","2019-08-08 15:37:04","178.115.131.34","Muški","Drugo","Ovo mi je prvi put","Između 5 i 15 minuta","Uglavnom pozitivan","9","Neodlučan/na sam","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se ne slažem","","","","","","","","","","","","","","","","","","","","","","","","","","","","153.1","","3.92","17.17","8.27","16.01","19.21","","","42.61","14.58","9.8","10.5","11.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78","","2","sr-Latn","2019-08-09 09:43:51","2019-08-09 09:44:14","178.221.170.11","Ženski","Drugo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.89","","5.43","18.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79","2019-08-09 13:37:43","38","sr-Latn","2019-08-09 13:20:58","2019-08-09 13:37:43","77.105.13.80","Muški","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Veoma pozitivan","26","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se ne slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se ne slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","","","","","","","","","","","","","","","","","Nije problem samo možda primedba za bolje iskustvo korisnika. Na stranici kurikuluma (spisak predmeta), kada se uđe u stranicu nekog predmeta i onda ponovo izađe, veb-sajt me startuje na vrhu stranice. Bilo bi bolje kada bi sajt zapamtio dokle je korisnik skrolovao, jer ljude obično interesuje jedan te isti semestar. Ovo smeta kasnijim godinama koje moraju da biraju predmete (pa stalno ulaze i izlaze sa stranica predmeta) i to rade na telefonu. Moguće drugo rešenje je da se napravi još jedna međustranica gde korisnik izabere godinu koja ga zanima.

Razumem da je sitnica, i zaista ne smeta nešto posebno, ali to je doslovno jedina zamerka koju imam u vezi sa sajtom!","ne znam gde je nestao online statistički udžbenik (/stat), ali to je bila izrazito korisna stvar, nadam se da ćete ga vratiti","možete da dodate palmice za vreme leta, kao što dodajete pahuljice za vreme zime :) pored toga ništa","1014.52","","4.67","4.75","7.16","8.88","7.16","","","16.35","10.1","4.74","7.09","10.71","6.54","8.1","24.65","15.13","23.24","10.46","4.71","11.25","","","","","","","","","","","","","","","","","","","660.5","104.08","64.25"
"80","2019-08-09 14:52:53","38","sr-Latn","2019-08-09 14:49:06","2019-08-09 14:52:53","212.200.201.51","Ženski","Student Odseka","Barem jednom nedeljno","Između 15 i 30 minuta","Uglavnom pozitivan","37","Uglavnom se ne slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","uglavnom se slažem","Uglavnom se ne slažem","","","","","","","","","","","","","","","","","","","","238.37","","5.68","20.12","8.68","6.99","12.91","","","21.58","8.56","10.28","7.07","17.75","8.8","39.76","8.26","6.03","9.97","6.95","7.37","13.56","","","","","","","","","","","","","","","","","","","5.79","6.59","5.67"
"81","2019-08-11 08:17:07","38","sr-Latn","2019-08-11 08:14:11","2019-08-11 08:17:07","178.221.154.109","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Veoma pozitivan","11","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","","","","","","","","","","","","","","","","","","Ne ynam da li trenutno ima, pošto sam na masteru, ali možda negde dodati radni kalendar. ","","187.33","","3.23","5.92","6.43","12.72","7.15","","","11.38","6.04","8.47","5.04","3.84","6.4","7.44","6.8","4.55","5.48","4.99","6.79","5.73","","","","","","","","","","","","","","","","","","","6.8","56.67","5.46"
"82","2019-08-12 22:51:53","38","sr-Latn","2019-08-12 22:41:11","2019-08-12 22:51:53","109.93.34.153","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Uglavnom pozitivan","41","Uglavnom se slažem","Potpuno se slažem","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uopšte se ne slažem","Uopšte se ne slažem","Uglavnom se ne slažem","Uopšte se ne slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","","","","","","","","","","","","","","","","","Opisi predmeta koje treba da odaberem su nedovoljno informativni. 
Na sajtu stoje izborni predmeti koji se ne održavaju. Negde ne piše koji profesor predaje određeni predmet.
Ume nekad da ''zabaguje'' ili ne znam ni ja šta se tačno desi, ali jedan profesor objavi 12 puta rezultate istog ispita. U junskom roku ove godine se to desilo.
Ali ono što je najbitnije, jako je lako dođi do potrebnih informacija. Sve je jasno, samo smatram da biste trebali navedeno da ispravite. 
","Kao što sam već napisala: dodati nazive profesora koji predaju izborne predmete, izbaciti sa sajta izborne predmete koji se ne održavaju.
Ja bih takođe dodala ovde i pozive za Erazmus + programe, ali možda samo one Univerzitete koji imaju u ponudu i razmenu za studente psihologije.","Mislim da sam sve već napisala što sam imala. ","649.49","","4.05","4.26","6.09","6.26","11.67","","","13.08","8.98","8.23","5.84","6.99","4.53","8.19","8.46","6.48","7.18","6.83","6.69","16.31","","","","","","","","","","","","","","","","","","","234.31","246.55","28.51"
"83","2019-08-12 23:47:36","38","sr-Latn","2019-08-12 23:45:58","2019-08-12 23:47:36","188.2.157.154","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Veoma pozitivan","46","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se ne slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","","","","","","","","","","","","","","","","","ne","/","ne","107.3","","1.78","5.99","5.31","3.84","4.21","","","7.73","4.41","2.98","4.32","3.08","2.66","10.42","3.63","3.25","2.82","4.44","2.4","2.57","","","","","","","","","","","","","","","","","","","8.82","12","10.64"
"84","","37","sr-Latn","2019-08-13 09:29:36","2019-08-13 09:30:55","109.245.35.156","Muški","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Veoma pozitivan","9","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","uglavnom se slažem","Potpuno se slažem","","","","","","","","","","","","","","","","","","","","91.04","","2.73","13.47","5.77","6.11","3.43","","","7.85","7.74","5.18","3.29","6.06","3.71","4.02","2.77","3.01","1.4","1.81","2.32","2.29","","","","","","","","","","","","","","","","","","","3.87","4.21",""
"85","2019-08-14 07:07:11","38","sr-Latn","2019-08-14 07:02:46","2019-08-14 07:07:11","188.2.189.121","Ženski","Drugo","Nekoliko puta mesečno","Između 15 i 30 minuta","Uglavnom pozitivan","88","","","","","","","","","","","","","","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uopšte se ne slažem","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","","Više informacija za studente doktorskih studija.
Ujedno napraviti jedinstven stav glede postavljanja prezentacija i materijala sa predavanja - ako postavlja većina profesora onda neka postavljaju svi.","","","","","279.3","","3.66","7.47","5.29","19.95","8.41","","","","","","","","","","","","","","","","","7.04","4.3","3.74","7.89","12.91","11.09","13.75","6.24","3.78","3.68","4.34","4.58","2.81","","4.63","122.26","21.48","","",""
"86","2019-08-15 11:59:02","38","sr-Latn","2019-08-15 11:47:16","2019-08-15 11:59:02","109.245.225.200","Ženski","Student Odseka","Nekoliko puta mesečno","Manje od 5 minuta","Neutralan","65","","","","","","","","","","","","","","Neodlučan/na sam","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se ne slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se ne slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","NIje problem, ali nije praktično da kod prijave za eksperimente, treba pamtiti novu šivfru. Bilo bizgodnije da imamo samo jednu koju možemo da koristimo svugde ge je potreban.
","Kalendar rada,rasporedi ispita, predavanja.
Opis programa za eksperimente, prikaz rezultata, postignuće.","Bilo bizgodnije da imamo samo jednu koju možemo da koristimo svugde ge je potreban, npr. za prijavu eksperimenta. 
Ima puno odvojene stranice, a sadržaj mogli bi da se svrsta u istu kategoriju.","","","","715.83","","7.62","2.45","3.68","5.22","9.32","","","","","","","","","","","","","","","","","21","5.69","5.97","6.56","6.68","5.1","6.12","11.11","7.5","6.87","10.3","16.65","6.03","","275.06","93.35","203.55","","",""
